facility_name,facility_type,facility_subtype,barangay,barangay_psgc,address,lat,lng,geocode_precision,ownership,bed_capacity
ADULTS AND CHILDREN'S DIAGNOSTICS CENTER CORP.,health,Clinical Laboratory,SAN JOSE,405808010,"756 E. RODRIGUEZ AVE., SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.72933895,121.140916,address_level,Private,0
NEW LIFE MATERNITY AND LYING-IN CLINIC INC.,health,Birthing Home,SAN JOSE,405808010,"UNIT E CASA CARMELITA BLDG, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7301223,121.1394665,address_level,Private,2
CCH RURAL HEALTH UNIT BIRTHING HOME 4,health,Rural Health Unit,SAN RAFAEL,405808011,"SITIO WAWA, SAN RAFAEL, RODRIGUEZ, RIZAL, Philippines",14.7304349,121.1852683,address_level,Government,0
ROSARIO BARANGAY HEALTH STATION,health,Barangay Health Station,ROSARIO,405808008,"OMEGA SUBDIVISION, ROSARIO, RODRIGUEZ, RIZAL, Philippines",14.7305612,121.1412352,address_level,Government,0
VILLON MIDWIVE CLINIC,health,Birthing Home,SAN JOSE,405808010,"BLOCK 4 LOT 31 PHASE 1 SUB URBAN VILL, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.73080374,121.1342052,address_level,Private,0
VILLON MIDWIFE CLINIC,health,Birthing Home,SAN JOSE,405808010,"B7L2C3 PH1F SUB URBAN VILL, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7308159,121.1342133,address_level,Private,2
NICOLAS-BANAL HEALTH SERVICES,health,Drug Testing Laboratory,SAN JOSE,405808010,"#40 E. RODRIGUEZ HIGHWAY ST., SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.73086499,121.1358501,address_level,Private,0
NICOLAS-BANAL HEALTH SERVICES,health,Clinical Laboratory,SAN JOSE,405808010,"#40 E. RODRIGUEZ HIGHWAY ST., SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.73086499,121.1358501,address_level,Private,0
DOC. K LYING IN CLINIC,health,Birthing Home,SAN JOSE,405808010,"32 E. RODRIGUEZ ST., SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.73088113,121.13661,address_level,Private,4
SAN JOSE III - NTA BARANGAY HEALTH STATION,health,Barangay Health Station,SAN JOSE,405808010,"SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7312924,121.1351854,address_level,Government,0
SAN JOSE I - PROPER BARANGAY HEALTH STATION,health,Barangay Health Station,SAN JOSE,405808010,"E. RODRIGUEZ HIGHWAY, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7313858,121.1348379,address_level,Government,0
HEALTH EXPERT CLINICAL LABORATORY,health,Clinical Laboratory,SAN JOSE,405808010,"24 E. RODRIGUEZ HIGHWAY, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7313858,121.1348379,address_level,Private,0
BLESSED HOME OF MOTHER AND CHILD MATERNITY CLINIC,health,Birthing Home,SAN JOSE,405808010,"393-B G. BAUTISTA STREET, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7326566,121.1333363,address_level,Private,6
BLESSED HOME OF MOTHER AND CHILD MATERNITY CLINIC,health,Birthing Home,SAN JOSE,405808010,"390 G. BAUTISTA ST, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.7326566,121.1333363,address_level,Private,6
TRIPLE J MATERNITY CLINIC,health,Birthing Home,BALITE,405808001,"143 RIZAL AVENUE, BALITE (POB.), RODRIGUEZ, RIZAL, Philippines",14.73314307,121.1456219,address_level,Private,2
MONTALBAN MEDICAL AND DIAGNOSTIC LABORATORY,health,Clinical Laboratory,BALITE,405808001,"181 COL. S. CRUZ, BALITE (POB.), RODRIGUEZ, RIZAL, Philippines",14.73420433,121.1482017,address_level,Private,0
SAN RAFAEL I - MAIN BARANGAY HEALTH STATION,health,Barangay Health Station,SAN RAFAEL,405808011,"SAN RAFAEL, RODRIGUEZ, RIZAL, Philippines",14.7353584,121.1523099,address_level,Government,0
RAFHA-JYRA'S LYING IN CLINIC,health,Birthing Home,SAN JOSE,405808010,"55 E. RODRIGUEZ AVENUE, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.73538931,121.1513528,address_level,Private,0
MUNICIPAL DIALYSIS CENTER OF RODRIGUEZ,health,Dialysis Clinic,BALITE,405808001,"147 J.P. RIZAL AVENUE, BALITE (POB.), RODRIGUEZ, RIZAL, Philippines",14.73549692,121.1526885,address_level,Government,0
